  1k, 11019
  2k,    54
  4k,   354
  8k,  1033
 16k,  1227
 32k,  1366
 64k,  1223
128k,  1250
256k,  1243
512k,   911
  1M,   701
  2M,   627
  4M,   364
  8M,   216
 16M,   195
 32M,   111
 64M,    67
128M,    27
256M,    11
512M,     6
  2G,     1
