Project,Repo,Project license,Repo License,Sourcerank
Rubygems/stickler,https://github.com/copiousfreetime/stickler,ISC,MIT,10
Rubygems/pwhois,https://github.com/Crosse/pwhois,ISC,MIT,8
Rubygems/synt,https://github.com/brentlintner/synt,ISC,MPL-2.0,8
Rubygems/parallelQueue,https://github.com/Try2Code/jobQueue,ISC,BSD-3-Clause,7
Rubygems/piecss,https://github.com/piecss/piecss,ISC,MIT,7
