Score,Count
30,1
31,5
32,12
33,44
34,81
35,70
36,105
37,116
38,137
39,164
40,147
41,151
42,173
43,704
44,777
45,1665
46,781
47,1103
48,1173
49,639
50,682
51,481
52,529
53,556
54,359
55,424
56,385
57,282
58,276
59,260
60,251
61,616
62,216
63,176
64,153
65,143
66,211
67,134
68,91
69,130
70,91
71,118
72,90
73,152
74,246
75,51
76,28
77,29
78,21
79,10
80,11
81,19
82,7
83,6
84,2
85,2
86,3
88,2
