Project,Repo,Project license,Repo License,Sourcerank
Rubygems/greenmat,https://github.com/increments/greenmat,MIT,ISC,10
Rubygems/jellyfish_fog_aws,https://github.com/boozallen/projectjellyfish,MIT,Apache-2.0,10
Rubygems/congress,https://github.com/codeforamerica/congress,MIT,BSD-3-Clause,10
Rubygems/opentracing,https://github.com/opentracing/opentracing-ruby,MIT,Apache-2.0,10
Rubygems/mt940_parser,https://github.com/betterplace/mt940_parser,MIT,Apache-2.0,10
Rubygems/tetra,https://github.com/moio/tetra,MIT,BSD-3-Clause,10
Rubygems/artikcloud,https://github.com/artikcloud/artikcloud-ruby,MIT,Apache-2.0,10
Rubygems/zucchini-ios,https://github.com/zucchini-src/zucchini,"BSD-3-Clause,MIT",BSD-2-Clause,10
Rubygems/vis-rails,https://github.com/AlexVangelov/vis-rails,MIT,Apache-2.0,10
Rubygems/kiba-plus,https://github.com/hooopo/kiba-plus,MIT,GPL-3.0,10
Rubygems/polish_number,https://github.com/amberbit/polish_number,MIT,GPL-2.0,9
Rubygems/helium-ruby,https://github.com/helium/helium-ruby,MIT,BSD-3-Clause,9
Rubygems/ppc,https://github.com/warriors-of-the-night/ppc,MIT,GPL-2.0,9
Rubygems/capcake,https://github.com/jadb/capcake,MIT,BSD-3-Clause,9
Rubygems/gkv,https://github.com/ybur-yug/gkv,MIT,WTFPL,9
Rubygems/dockscan,https://github.com/kost/dockscan,MIT,GPL-2.0,9
Rubygems/chef-handler-slack,https://github.com/tinyspeck/chef-handler-slack,MIT,Apache-2.0,9
Rubygems/spree-point-of-sale,https://github.com/vinsol-spree-contrib/spree-point-of-sale,MIT,BSD-3-Clause,9
Rubygems/spree_wallet,https://github.com/vinsol-spree-contrib/spree_wallet,MIT,BSD-3-Clause,9
Rubygems/rbx-trepanning,https://github.com/rocky/rbx-trepanning,MIT,BSD-3-Clause,9
Rubygems/spree_loyalty_points,https://github.com/vinsol-spree-contrib/spree-loyalty-points,MIT,BSD-3-Clause,9
Rubygems/gocd,https://github.com/ajitsing/gocd,MIT,Apache-2.0,9
Rubygems/html5shiv-js-rails,https://github.com/RouL/html5shiv-js-rails,"MIT,GPL-2.0",GPL-2.0,9
Rubygems/spree_custom_checkout,https://github.com/0bserver07/Spree-Custom-Checkout,MIT,BSD-3-Clause,9
Rubygems/spree-bank-transfer,https://github.com/vinsol-spree-contrib/spree_bank_transfer,MIT,BSD-3-Clause,9
Rubygems/jump,https://github.com/flavio/jump,MIT,GPL-3.0,9
Rubygems/azure_mgmt_msi,https://github.com/Azure/azure-sdk-for-ruby,MIT,Apache-2.0,9
Rubygems/snapi,https://github.com/pwnieexpress/snapi,MIT,LGPL-3.0,9
Rubygems/webrc,https://github.com/Ritvik1512/webrc,MIT,GPL-3.0,9
Rubygems/meducation_sdk,https://github.com/meducation/meducation_sdk,MIT,AGPL-3.0,9
Rubygems/sqlite3-fiddle,https://github.com/threez/sqlite3-fiddle,MIT,BSD-3-Clause,9
Rubygems/Avatax_TaxService,https://github.com/avadev/AvaTax-SOAP-Ruby-SDK,MIT,Apache-2.0,9
Rubygems/filterism,https://github.com/philspitler/filterism,MIT,BSD-3-Clause,9
Rubygems/credit-card-sms-parser,https://github.com/kakao/credit-card-sms-parser,MIT,BSD-3-Clause,9
Rubygems/gjp,https://github.com/moio/tetra,MIT,BSD-3-Clause,9
Rubygems/odeon_uk,https://github.com/andycroll/odeon_uk,MIT,AGPL-3.0,9
Rubygems/obfuscate,https://github.com/mguymon/obfuscate,MIT,Apache-2.0,9
Rubygems/gracenote,https://github.com/nobelium/gracenote,MIT,GPL-3.0,9
Rubygems/anadea-spark,https://github.com/Anadea/spark,MIT,GPL-3.0,9
Rubygems/yupi,https://github.com/Anadea/spark,MIT,GPL-3.0,9
Rubygems/multidb,https://github.com/anamba/imagine_cms,MIT,AGPL-3.0,9
Rubygems/tushare,https://github.com/waditu/tushare-ruby,MIT,BSD-3-Clause,9
Rubygems/dj2,https://github.com/treeder/dj,MIT,Apache-2.0,9
Rubygems/yawast,https://github.com/adamcaudill/yawast,MIT,BSD-3-Clause,9
Rubygems/active_encode,https://github.com/samvera-labs/active_encode,MIT,Apache-2.0,9
Rubygems/restful_objects,https://github.com/vizcay/RestfulObjectsRuby,MIT,Apache-2.0,9
Rubygems/rb-threadframe,https://github.com/rocky/rb-threadframe,MIT,BSD-2-Clause,9
Rubygems/cellect-client,https://github.com/zooniverse/Cellect,MIT,Apache-2.0,9
Rubygems/cellect-server,https://github.com/zooniverse/Cellect,MIT,Apache-2.0,9
Rubygems/shoot,https://github.com/joaomilho/shoot,MIT,ISC,9
Rubygems/spree_mercado_pago,https://github.com/manuca/spree_mercado_pago,MIT,BSD-3-Clause,8
Rubygems/motion-settings,https://github.com/mixflame/RubyMotion-UserSettings,MIT,GPL-3.0,8
Rubygems/need_label,https://github.com/kazuhisa/need_label,MIT,GPL-3.0,8
Rubygems/lita-totems,https://github.com/charleseff/lita-totems,MIT,Apache-2.0,8
Rubygems/rosie-aws,https://github.com/xogroup/rosie-aws,MIT,GPL-3.0,8
Rubygems/stix_schema_spy,https://github.com/johnwunder/stix_schema_spy,MIT,BSD-3-Clause,8
Rubygems/spree_paga,https://github.com/vinsol-spree-contrib/spree_paga,MIT,BSD-3-Clause,8
Rubygems/pullable,https://github.com/itsmeduncan/pullable,MIT,Unlicense,8
Rubygems/allowed_params,https://github.com/SPBTV/allowed_params,MIT,Apache-2.0,8
Rubygems/repsheet_visualizer,https://github.com/repsheet/visualizer,MIT,Apache-2.0,8
Rubygems/restcomm-ruby,https://github.com/RestComm/restcomm-ruby,MIT,AGPL-3.0,8
Rubygems/binder_sdk,https://github.com/meducation/ordino_sdk,MIT,AGPL-3.0,8
Rubygems/Avatax_AddressService,https://github.com/avadev/AvaTax-SOAP-Ruby-SDK,MIT,Apache-2.0,8
Rubygems/blur,https://github.com/mkroman/blur,MIT,ISC,8
Rubygems/beanstalkify,https://github.com/pranavraja/beanstalkify,MIT,ISC,8
Rubygems/chatty_crow,https://github.com/ChattyCrow/chattycrow_ruby,MIT,Apache-2.0,8
Rubygems/uw_sws,https://github.com/UWFosterIT/uwsws,MIT,GPL-3.0,8
Rubygems/typed.rb,https://github.com/antoniogarrote/typed.rb,MIT,GPL-3.0,8
Rubygems/tdiary-style-markdown,https://github.com/clear-code/tdiary-style-markdown,MIT,GPL-3.0,8
Rubygems/appium_connect_pi,https://github.com/Orasi/AppiumConnect,MIT,BSD-3-Clause,8
Rubygems/docstache,https://github.com/willcosgrove/docstache,MIT,Apache-2.0,8
Rubygems/riley_ipsum,https://github.com/blimpage/riley_ipsum,MIT,WTFPL,8
Rubygems/redlock-rb,https://github.com/outstand/redlock-rb,MIT,BSD-2-Clause,8
Rubygems/truty,https://github.com/mkj-is/Truty,MIT,GPL-3.0,8
Rubygems/lita-tuc,https://github.com/rubyni/lita-tuc,MIT,Apache-2.0,8
Rubygems/ffi-tox,https://github.com/d4l3k/ffi-tox,MIT,BSD-2-Clause,8
Rubygems/tdiary-style-rd,https://github.com/tdiary/tdiary-style-rd,MIT,GPL-3.0,8
Rubygems/unified_payment,https://github.com/vinsol/Unified-Payments,MIT,BSD-3-Clause,8
Rubygems/fyrehose,https://github.com/paulasmuth/brokerd,MIT,GPL-3.0,8
Rubygems/before_and_after,https://github.com/bjornblomqvist/before_and_after,MIT,LGPL-3.0,8
Rubygems/quaff,https://github.com/rkday/quaff,"GPL-3.0,MIT",GPL-3.0,8
Rubygems/graphite_sender,https://github.com/icalvete/graphite-sender,MIT,Apache-2.0,8
Rubygems/jfish,https://github.com/jeanlescure/jfish,MIT,BSD-3-Clause,8
Rubygems/hangul,https://github.com/aelaa/hangul,MIT,GPL-2.0,8
Rubygems/rocket_job_mission_control,https://github.com/rocketjob/rocketjob_mission_control,MIT,Apache-2.0,8
Rubygems/hexapic,https://github.com/blan4/hexapic,MIT,GPL-2.0,8
Rubygems/md2dw,https://github.com/sczizzo/md2dw,MIT,ISC,8
Rubygems/ruby-cleverbot-api,https://github.com/FormalHellhound/ruby-cleverbot-api,MIT,GPL-3.0,8
Rubygems/warren_ipsum,https://github.com/vonconrad/warren_ipsum,MIT,WTFPL,8
Rubygems/action_kit_rest,https://github.com/controlshift/action_kit_rest,MIT,BSD-3-Clause,8
