Gem name, Owners, Dependent Open Source Repos
chronic_duration,1,1638
faye,1,1609
gibbon,1,1604
foreigner,1,1598
aws_cf_signer,1,1591
cause,1,1591
rgen,1,1561
jquery-fileupload-rails,1,1554
cane,1,1535
hamlit,1,1487
omniauth-openid,1,1475
ripl-multi_line,1,1471
celluloid-pool,1,1465
celluloid-essentials,1,1465
guard-kitchen,1,1463
celluloid-fsm,1,1462
thread,1,1462
power_assert,1,1461
tinymce-rails,1,1461
clamp,1,1440
bootstrap-sass-extras,1,1435
ripl-rack,1,1432
octopress-escape-code,1,1427
celluloid-supervision,1,1426
airbrussh,1,1422
celluloid-extras,1,1422
spinach-rerun-reporter,1,1421
titlecase,1,1419
licensee,1,1411
base32,1,1397
susy,1,1377
em-synchrony,1,1362
octopress-deploy,1,1362
wirble,1,1350
Ascii85,1,1348
culerity,1,1344
health_check,1,1331
nokogumbo,1,1328
representable,1,1319
google_drive,1,1293
braintree,1,1293
stamp,1,1292
kitchen-digitalocean,1,1290
bootstrap3-datetimepicker-rails,1,1284
sucker_punch,1,1282
crass,1,1278
memcachier,1,1268
task_list,1,1264
knapsack,1,1261
progress,1,1258
cucumber-wire,1,1257
rack-flash3,1,1255
ruby-rc4,1,1251
hashery,1,1245
hashr,1,1239
guard-shell,1,1220
gssapi,1,1211
i18n_data,1,1183
mailcatcher,1,1169
vmstat,1,1168
rbx-require-relative,1,1166
net-http-pipeline,1,1156
pr_geohash,1,1142
rspec-instafail,1,1134
git-version-bump,1,1133
cleanroom,1,1130
image_size,1,1130
net-telnet,1,1129
machinist,1,1117
jquery-scrollto-rails,1,1114
capistrano-passenger,1,1106
coolline,1,1102
sfl,1,1093
rb-notifu,1,1090
chosen-rails,1,1087
exifr,1,1087
signature,1,1044
sinatra-reloader,1,1043
dropbox-sdk,1,1038
headless,1,1038
inifile,1,1033
middleman-minify-html,1,1026
valid_attribute,1,1025
thinking-sphinx,1,1019
validates_timeliness,1,1018
versioncake,1,1017
gravtastic,1,1016
afm,1,1009
skinny,1,1001
json,2,351163
mime-types,2,344214
sass,2,323440
mail,2,313604
diff-lcs,2,148766
loofah,2,146137
binding_of_caller,2,120107
mini_portile,2,111084
rb-fsevent,2,105674
rb-inotify,2,97942
capybara,2,88072
bootstrap-sass,2,81449
orm_adapter,2,73982
rails_12factor,2,73128
xpath,2,70923
rack-cache,2,69051
rails_stdout_logging,2,68971
rails_serve_static_assets,2,68644
multipart-post,2,59024
journey,2,58512
columnize,2,53465
rack-protection,2,48851
childprocess,2,43013
celluloid,2,32439
timers,2,30751
pry-rails,2,30340
oauth2,2,28002
httparty,2,27438
rubocop,2,27215
webmock,2,25605
spring-watcher-listen,2,25361
compass,2,24428
jquery-ui-rails,2,23422
quiet_assets,2,23360
ruby-progressbar,2,22680
climate_control,2,21113
haml-rails,2,20549
omniauth-oauth2,2,20305
RedCloth,2,19210
font-awesome-rails,2,17841
rdiscount,2,17719
crack,2,16316
fast-stemmer,2,16247
rainbow,2,15656
aws-sdk,2,15640
connection_pool,2,15488
temple,2,15176
ast,2,13836
omniauth-facebook,2,13790
sawyer,2,13452
parser,2,13095
shellany,2,12936
toml,2,12601
timecop,2,12366
shotgun,2,12205
sidekiq,2,11140
mongoid,2,10984
httpclient,2,10886
em-websocket,2,10384
github-pages-health-check,2,10363
stringex,2,10332
compass-import-once,2,9880
multi_test,2,9808
net-dns,2,9677
minitest-reporters,2,9551
chronic,2,9294
omniauth-twitter,2,9245
letter_opener,2,9011
fastercsv,2,8939
bson,2,8906
middleman,2,8859
omniauth-oauth,2,8768
jquery-turbolinks,2,8727
simple_oauth,2,8528
sshkit,2,8517
descendants_tracker,2,8402
rb-kqueue,2,7965
fog-brightbox,2,7893
middleman-core,2,7891
email_spec,2,7804
bson_ext,2,7762
compass-core,2,7611
guard-spork,2,7581
mongo,2,7016
omniauth-github,2,6893
fog-aws,2,6831
nested_form,2,6751
classifier,2,6379
cancancan,2,6127
select2-rails,2,5863
dalli,2,5831
trollop,2,5684
fog-radosgw,2,5684
whenever,2,5514
fuubar,2,5443
rspec-its,2,5321
rails-i18n,2,5093
mysql,2,5044
guard-livereload,2,4951
commander,2,4947
sinatra-activerecord,2,4895
underscore-rails,2,4659
archive-tar-minitar,2,4656
settingslogic,2,4583
aws-sdk-v1,2,4571
celluloid-io,2,4515
fakeweb,2,4475
aws-sdk-core,2,4180
rubypants,2,4158
rails_admin,2,4022
beaker-rspec,2,3854
jmespath,2,3844
spork-rails,2,3803
mustache,2,3758
asciidoctor,2,3691
rack-mini-profiler,2,3689
rinku,2,3631
rake-compiler,2,3598
pry-doc,2,3588
aws-sdk-resources,2,3541
callsite,2,3520
capistrano-rvm,2,3447
naught,2,3391
recaptcha,2,3271
phantomjs,2,3230
minitar,2,3214
draper,2,3166
plist,2,3135
momentjs-rails,2,3129
ntlm-http,2,3116
react-rails,2,3105
premailer,2,3039
savon,2,2985
default_value_for,2,2964
win32console,2,2862
hub,2,2837
nori,2,2737
org-ruby,2,2727
choice,2,2725
gmaps4rails,2,2677
exception_notification,2,2675
bootstrap_form,2,2627
guard-rails,2,2605
version_sorter,2,2546
spinach-rails,2,2536
gyoku,2,2469
elasticsearch,2,2466
state_machines-activerecord,2,2386
gherkin-ruby,2,2374
rqrcode,2,2360
puppet-syntax,2,2331
teaspoon,2,2306
retryable,2,2267
rack-timeout,2,2254
yui-compressor,2,2215
pry-rescue,2,2209
octopress-hooks,2,2188
akami,2,2111
wasabi,2,2099
grit,2,2076
ruby-fogbugz,2,2047
middleman-autoprefixer,2,2047
googleauth,2,2026
ci_reporter,2,1998
elasticsearch-api,2,1981
elasticsearch-transport,2,1974
state_machines,2,1973
sprockets-es6,2,1967
middleman-gh-pages,2,1953
bluecloth,2,1942
xcpretty,2,1941
state_machines-activemodel,2,1922
stackprof,2,1906
middleman-deploy,2,1904
octopress,2,1886
guard-cucumber,2,1885
countries,2,1879
letter_opener_web,2,1863
interception,2,1841
bower-rails,2,1819
devise-async,2,1795
fauxhai,2,1790
country_select,2,1787
msgpack,2,1752
ptools,2,1723
jquery-datatables-rails,2,1718
activerecord-import,2,1698
enumerize,2,1687
devise_invitable,2,1670
gitlab_meta,2,1665
aasm,2,1662
sys-proctable,2,1657
cloudinary,2,1631
pony,2,1622
capistrano-ext,2,1585
materialize-sass,2,1579
pdf-reader,2,1542
seed_dump,2,1518
mongoid-rspec,2,1501
angular-rails-templates,2,1501
raphael-rails,2,1501
rspec-puppet-facts,2,1458
http_accept_language,2,1439
bacon,2,1414
puppet-lint-unquoted_string-check,2,1357
numerizer,2,1354
sys-filesystem,2,1323
generator_spec,2,1304
u2f,2,1269
puppet-lint-leading_zero-check,2,1269
pusher-client,2,1268
kitchen-docker,2,1245
therubyrhino,2,1222
jekyll-assets,2,1212
terminal-notifier,2,1198
handlebars_assets,2,1171
rack-rewrite,2,1163
sitemap_generator,2,1158
puppet-lint-absolute_classname-check,2,1140
middleman-more,2,1133
ice_cube,2,1122
oa-core,2,1118
elasticsearch-model,2,1100
haml_lint,2,1095
